n_estimators,max_depth,mse
1,1,0.0011560932776361321
2,1,0.0020020110062131517
3,1,0.0014605144448978286
4,1,0.0019329534005840174
5,1,0.0016810298628493886
6,1,0.0015632072686268634
7,1,0.0014642304981508283
8,1,0.0015859427426833735
9,1,0.0014338757469926251
10,1,0.0013148024724869622
11,1,0.0012931595753689694
12,1,0.0012182629338139445
13,1,0.0011696552068308156
14,1,0.001140815442821307
15,1,0.0013070349866010187
16,1,0.001289960658983826
17,1,0.0012361300142204133
18,1,0.0011985739976917355
19,1,0.00113808886724386
20,1,0.001123944297855909
21,1,0.0011056313694595935
22,1,0.00109136764826364
23,1,0.0010870607039830864
24,1,0.0012126751703511003
25,1,0.0011846706586158752
26,1,0.001160383630141105
27,1,0.0011486750078812992
28,1,0.0011255795646578817
29,1,0.0011088090114341111
30,1,0.0010935587217618117
31,1,0.0010719848153535488
32,1,0.0010564389131614172
33,1,0.0010487256464220684
34,1,0.0010350834174016803
35,1,0.001089761979926284
36,1,0.0011159270914675435
37,1,0.0011185042366686371
38,1,0.0010953270901574632
39,1,0.0010747387606405122
40,1,0.001064167049881297
41,1,0.001056986553738265
42,1,0.0011147075173517113
43,1,0.0011057604442603886
44,1,0.0010904754624369844
45,1,0.001138278425349309
46,1,0.0011232940328936643
47,1,0.001120452298762236
48,1,0.001108364608591884
49,1,0.0010995361772779594
50,1,0.0010886624175941776
51,1,0.0010860422745378531
52,1,0.001067587779642181
53,1,0.0010604157750565193
54,1,0.0010509476267619269
55,1,0.0010393493434126243
56,1,0.0010336352429306634
57,1,0.0010337944665988919
58,1,0.0010330790354189322
59,1,0.0010311303010869164
60,1,0.0010356078766944213
61,1,0.0010296027566421779
62,1,0.001025809558939918
63,1,0.0010576408041915158
64,1,0.001047248865591565
65,1,0.0010372050763139539
66,1,0.0010292469768345069
67,1,0.001022840619016246
68,1,0.0010182142163074346
69,1,0.0010110290248872573
70,1,0.0010407666755001157
71,1,0.0010348720616905546
72,1,0.0010638626333597705
73,1,0.0010567322749393995
74,1,0.0010759146733562348
75,1,0.0010645256993960658
76,1,0.001057714151779959
77,1,0.0010536781755501724
78,1,0.0010544541031617294
79,1,0.0010494133096956813
80,1,0.0010406195336386153
81,1,0.0010349445488360201
82,1,0.001023121413991409
83,1,0.0010203426536467973
84,1,0.0010178103992329287
85,1,0.0010306665174796192
86,1,0.0010325037417059986
87,1,0.0010327478975526122
88,1,0.0010599323438447987
89,1,0.0010629108109734093
90,1,0.001087985007348751
91,1,0.0010867110646881914
92,1,0.0011028623299474357
93,1,0.001098627972772352
94,1,0.0010909014359444722
95,1,0.001087764545260122
96,1,0.0010804989233393722
97,1,0.0010910880432820384
98,1,0.0010822732766811133
99,1,0.0010975132211402604
100,1,0.001096460587311968
1,2,0.0010648250284376916
2,2,0.0008366657407529715
3,2,0.0007069667793683505
4,2,0.0011660899879269095
5,2,0.0011105924947698
6,2,0.0011151357119058836
7,2,0.0010092321385560049
8,2,0.0009661141323909441
9,2,0.0009438549685135194
10,2,0.001133284266242545
11,2,0.0010503252675857636
12,2,0.0009017116364060832
