n_estimators,max_depth,mse
198,11,0.009802110759670047
53,11,0.012201007397580736
78,11,0.011247723397680957
164,11,0.011619026012641255
94,11,0.012509397563591049
23,11,0.010230804318779785
173,11,0.011719523680596158
181,11,0.010181666423421326
151,11,0.013599356190725541
121,11,0.011941248476012098
25,11,0.008932923774315787
178,11,0.011069006408259299
22,11,0.0128500936629679
101,11,0.012104994410102585
54,11,0.011668931013343592
2,11,0.015511
102,11,0.011457800689485454
126,11,0.009011213390328898
108,11,0.011983769798111539
114,11,0.010120641937439282
35,11,0.01070074848774317
200,11,0.010404772381083545
134,11,0.011858367568275564
99,11,0.008538005703915812
57,11,0.010362504979111804
32,11,0.007756349943323774
163,11,0.01104685345824651
140,11,0.009490242037503255
103,11,0.012333097975162369
81,11,0.013001940862925707
69,11,0.00877781060873015
61,11,0.012390287619249695
196,11,0.009084063452531278
116,11,0.00935792975945215
97,11,0.01062329362554532
112,11,0.014515694814983701
15,11,0.01969345814589383
91,11,0.013083801088317583
79,11,0.01264565102974769
36,11,0.01050298230397533
100,11,0.011314634240898777
177,11,0.011287409881294043
77,11,0.01070794481412598
73,11,0.010441506384058497
105,11,0.0118627854877393
70,11,0.011173944983416766
190,11,0.010273317227553454
155,11,0.013474813206957422
75,11,0.011275400446693196
49,11,0.013546544339074084
34,11,0.010981689821500834
59,11,0.011953903874726798
47,11,0.011611083441166497
42,11,0.011205351732350972
89,11,0.009401778184179055
93,11,0.011374855555541196
14,11,0.015167629271989494
161,11,0.011072053853724109
167,11,0.010523399129168392
12,11,0.008600038834064329
197,11,0.011608220237298274
60,11,0.013279731282516553
176,11,0.011841825806981301
28,11,0.01460161174660859
137,11,0.009607995593777981
142,11,0.010244205369642895
153,11,0.011382006329492805
144,11,0.010407315816897232
27,11,0.015250452422671505
145,11,0.010856966492556958
85,11,0.010746320146478082
58,11,0.01133578980699407
10,11,0.016840667463450292
136,11,0.009818683554545451
62,11,0.009489952853910091
198,12,0.011194874415130883
53,12,0.014832518254482781
78,12,0.014064099048652962
164,12,0.011851243593151423
94,12,0.013641290048457544
23,12,0.008213916159972565
173,12,0.013280848747872945
181,12,0.012191339706886576
151,12,0.011419620128704878
121,12,0.010417076335356188
25,12,0.010316991827789473
178,12,0.010730083731247939
22,12,0.014011826089628835
101,12,0.011137312591038328
54,12,0.011874765710206042
2,12,0.00882870289473684
102,12,0.010094363990115127
126,12,0.010867553823843842
108,12,0.010765893256385916
114,12,0.010706876803620764
35,12,0.010362762765628362
200,12,0.010876532610508102
134,12,0.010853195703892196
