n_estimators,max_depth,mse
145,17,0.005152028141722607
98,17,0.005456110244924196
159,17,0.005266059571877135
198,17,0.005289725597494662
174,17,0.0051867575440608825
60,17,0.005407059409185665
192,17,0.005180555723273835
89,17,0.005310038297003844
197,17,0.005285977544496996
68,17,0.00532290152264674
152,17,0.005384012979120413
33,17,0.005288643435300161
61,17,0.005146455618416019
44,17,0.00559957906493161
128,17,0.005289589476488203
23,17,0.005426406310135394
157,17,0.005227889974409971
42,17,0.0055043484850340494
85,17,0.005377020993498219
190,17,0.005195604120531603
65,17,0.005194697106735259
55,17,0.005303445083157753
56,17,0.005343818892542143
103,17,0.005552381902323824
51,17,0.0053650900733004225
160,17,0.005243639591347091
151,17,0.005308078504294005
34,17,0.0054362851940121994
147,17,0.0053326214320180785
2,17,0.007675338080895213
154,17,0.00531411783286073
114,17,0.0051963226453782055
97,17,0.005275491135897549
111,17,0.005266390641951848
99,17,0.005362922916530999
113,17,0.005309260108674242
16,17,0.005617790386817882
36,17,0.005558874840943108
27,17,0.005410349309943591
102,17,0.005242249021962697
136,17,0.005332680432957381
104,17,0.005427292301414831
127,17,0.0051784023970045815
187,17,0.005283679041083615
92,17,0.00525098087326369
100,17,0.005235768904843301
164,17,0.005264056832676237
52,17,0.0051591674089462155
66,17,0.00549132070008424
46,17,0.0052978974143000224
153,17,0.005217031486341258
72,17,0.005309294519486869
137,17,0.005341711485349374
48,17,0.005527886429792417
40,17,0.005309670944793088
39,17,0.0054359711832787025
43,17,0.00541415524697397
29,17,0.005727590356529362
120,17,0.005343093968279424
116,17,0.005178247262614993
177,17,0.005335731542490995
6,17,0.005825228740456986
117,17,0.005216431770750285
123,17,0.005193822649755456
195,17,0.005185323213590208
106,17,0.005393965240009682
165,17,0.005247350127555971
176,17,0.005256561679556851
141,17,0.005298487859532686
115,17,0.005350146096958007
87,17,0.0052879160355103205
194,17,0.005441881036242692
67,17,0.005381531753118124
21,17,0.005569641928074121
134,17,0.005207278118201127
145,26,0.005357918973009392
98,26,0.0052950954138877016
159,26,0.005238727189465955
198,26,0.005257300734682535
174,26,0.005166855462528414
60,26,0.005331231950767988
192,26,0.005284398917444006
89,26,0.005255055935668219
197,26,0.0052241584827512145
68,26,0.005275377178032112
152,26,0.005161255594996775
33,26,0.005465590609429463
61,26,0.005510814432144416
44,26,0.005518404364168794
128,26,0.005352637424048231
23,26,0.00543685180425101
157,26,0.005197307193450703
42,26,0.00542337123837011
85,26,0.005332475485792964
190,26,0.005327865462703293
65,26,0.005598192819944076
55,26,0.005250451389451042
56,26,0.005276995447467459
103,26,0.005297830238350583
51,26,0.0054600428125036685
160,26,0.005162821553658269
151,26,0.005266810310700841
34,26,0.005536281184945395
147,26,0.005271795353722934
2,26,0.00837573736593935
154,26,0.0054242744776728455
114,26,0.005307480445299609
97,26,0.005204510278806563
111,26,0.005391408026018359
99,26,0.005380871514344328
113,26,0.005234984767783243
16,26,0.005496494431274415
36,26,0.005765399385219076
27,26,0.005105981524672008
102,26,0.005259196842522277
136,26,0.005249541018704321
104,26,0.005298527902516928
127,26,0.0054127582832999895
187,26,0.005262802132761548
92,26,0.00515995803009134
100,26,0.005158146460882471
164,26,0.005186067630168432
52,26,0.005357431627999026
66,26,0.005372311913147999
46,26,0.005138264100643162
153,26,0.00534746076943458
72,26,0.005404887696906113
137,26,0.005304255741570759
48,26,0.00523448853942268
40,26,0.0053779941950171505
39,26,0.005653503137739737
43,26,0.005369663195934549
29,26,0.005439778686108061
120,26,0.005374557696741937
116,26,0.005276861690200465
177,26,0.005396961065032954
6,26,0.006721257210286459
117,26,0.005259906343921213
123,26,0.005220148995053969
195,26,0.0051854305853569335
106,26,0.005207926489134608
165,26,0.005209651062145888
176,26,0.005100758174122303
141,26,0.005278800807253075
115,26,0.005231157011021531
87,26,0.0052653625468262605
194,26,0.005233998326566969
67,26,0.005377753394341904
21,26,0.005395511005316593
134,26,0.005184814126457245
145,8,0.005761348444477956
98,8,0.005707864415469217
159,8,0.005729962385150441
198,8,0.005727516172800749
174,8,0.005678331016496345
60,8,0.005782996613115429
192,8,0.005686735881734996
89,8,0.005709546132091549
197,8,0.005705708471122811
68,8,0.0056192470227583256
152,8,0.005663160570479616
33,8,0.005838639716077258
61,8,0.005749954368042744
44,8,0.005733168940515715
128,8,0.005746668207443524
23,8,0.005803636352217378
157,8,0.005719785452916465
42,8,0.006019221622628706
85,8,0.00589250412784533
190,8,0.005695118367269129
65,8,0.005781348057902387
55,8,0.005846881286358056
56,8,0.005895624464869717
103,8,0.005687572489468063
51,8,0.005690503834384201
160,8,0.005734161970048149
151,8,0.005723312624597876
34,8,0.005829388198148851
147,8,0.005896275278643419
2,8,0.008137214307710241
154,8,0.005802141698028801
114,8,0.005746179606589366
97,8,0.005668113902359677
111,8,0.005719618819163853
99,8,0.005614314489404919
113,8,0.005741307599761321
16,8,0.005818528923481986
36,8,0.005723078889447432
27,8,0.006292940467564001
102,8,0.005818563668172703
136,8,0.005710585270741845
104,8,0.005728994774305741
127,8,0.005659502884530732
187,8,0.005808781647579859
92,8,0.005776429781947244
100,8,0.005818587443173627
164,8,0.0057335744319585435
52,8,0.005831450783516596
66,8,0.005750926137317877
46,8,0.005838025986422401
153,8,0.005679451607037973
72,8,0.005742111577572869
137,8,0.005798056496732372
48,8,0.005748245375634921
40,8,0.005718044785060433
39,8,0.005899406632573286
43,8,0.005880663378137656
29,8,0.005803838878893516
120,8,0.00575032635216113
116,8,0.0056274398785685275
177,8,0.005696383838292009
6,8,0.0066679759508404155
117,8,0.0056178534052520645
123,8,0.005772740167326126
195,8,0.005715417975155017
106,8,0.005651784680760905
165,8,0.005706088363644919
176,8,0.005730759744697599
141,8,0.005802899594205583
115,8,0.005654918867146011
87,8,0.005687595864957114
194,8,0.0056990153675725115
67,8,0.005867517659225778
21,8,0.005900088707612492
134,8,0.005694400483598966
145,16,0.005358165433319411
98,16,0.0052955815496044546
159,16,0.005282524497701968
198,16,0.005177875383658525
174,16,0.005193827544729307
60,16,0.0054803614269714725
192,16,0.005367547191598531
89,16,0.005356041918637389
197,16,0.005434723258113022
68,16,0.0054290206786513475
152,16,0.005379178010213839
33,16,0.005290153066651605
61,16,0.005469047584797259
44,16,0.005269894373224307
128,16,0.005270836020606644
23,16,0.005476490336100577
157,16,0.0052933183672511834
42,16,0.005586599422671985
85,16,0.00539133598480161
190,16,0.005353748644518871
65,16,0.005290407913075308
55,16,0.005358385103910126
56,16,0.005242673809148352
103,16,0.005295252485771779
51,16,0.0054809274804782995
160,16,0.00528086386932555
151,16,0.005414165129632208
34,16,0.005354646827561203
147,16,0.005176290268538226
2,16,0.006416000013919891
154,16,0.0052324140777071215
114,16,0.005408279557807142
97,16,0.0052956994617169096
111,16,0.005160634195364741
99,16,0.005260501689427338
113,16,0.005127411308475043
16,16,0.006061815437002951
36,16,0.005352443275782365
27,16,0.005305465794566569
102,16,0.005326981308993391
136,16,0.005303613246417388
104,16,0.005219638011987491
127,16,0.005378070348717602
187,16,0.005293765077257731
92,16,0.005271539958584562
100,16,0.005347923347369105
164,16,0.005271253992408048
52,16,0.005413770497031839
66,16,0.005323196832829695
46,16,0.005285613113881649
153,16,0.005156933162100352
72,16,0.005115654693857563
137,16,0.005340265729494761
48,16,0.005410282461701714
40,16,0.005360044363044208
39,16,0.005322491816176838
43,16,0.005533084603577004
29,16,0.005536298932936938
120,16,0.005322598706911511
116,16,0.005376091946768417
177,16,0.005288836789791758
6,16,0.006261936145070668
117,16,0.005153773199954878
123,16,0.005381181578470546
195,16,0.0053131197489572814
106,16,0.0053227365870576835
165,16,0.005376188124679648
176,16,0.0052718880526010595
141,16,0.005214025295879456
115,16,0.005264914570989559
87,16,0.005405718005587565
194,16,0.00530039554946299
67,16,0.005352839256591921
21,16,0.005925869442231986
134,16,0.005350619153257107
145,15,0.005359392592550097
98,15,0.005261295713885353
159,15,0.005265002243491476
198,15,0.0052629790033144955
174,15,0.005314068882618074
60,15,0.005398790700764268
192,15,0.005291883576114297
89,15,0.0054375683133688815
197,15,0.005249370182871615
68,15,0.005397661393983687
152,15,0.005268138792496724
33,15,0.005327465153179675
61,15,0.005496614882482929
44,15,0.005493868444079394
128,15,0.005276991136756811
23,15,0.005426408741403888
157,15,0.0053624721654566415
42,15,0.00539872122165001
85,15,0.005415463017797152
190,15,0.005222645203206064
65,15,0.005374230160164887
55,15,0.0052650317818527135
56,15,0.005471732072032984
103,15,0.0052561235579325445
51,15,0.0052516132368236376
160,15,0.005250841474511959
151,15,0.005320941254366944
34,15,0.005519385091189334
147,15,0.005318238719823428
2,15,0.009359774605970986
154,15,0.0051792655048884416
114,15,0.0052602825337546575
97,15,0.005407064338920983
111,15,0.0052479811082815995
99,15,0.005347182617269302
113,15,0.005331881826673464
16,15,0.005597955861916415
36,15,0.005645009814282359
27,15,0.005544373876326399
102,15,0.005389588560595919
136,15,0.0052667427372164064
104,15,0.005374592599478453
127,15,0.0052422284461606985
187,15,0.005219804709947577
92,15,0.00526458960369393
100,15,0.005365273928420652
164,15,0.005268476210124544
52,15,0.0053448446399362495
66,15,0.0055478225510615185
46,15,0.005220371296589998
153,15,0.005410907095549372
72,15,0.005490883354435742
137,15,0.005187196890542259
48,15,0.00556546720314666
40,15,0.005434435144392904
39,15,0.005286796971949936
43,15,0.005404503842203069
29,15,0.005065216182717769
120,15,0.005247527730493097
116,15,0.005587045970304206
177,15,0.005305134917739284
6,15,0.006969562583678715
117,15,0.005310936197755274
123,15,0.0053036587613569525
195,15,0.005218481579871017
106,15,0.005308920937163518
165,15,0.005272261132298681
176,15,0.005209691381555052
141,15,0.005250747418865487
115,15,0.005339837608012695
87,15,0.005338266689533161
194,15,0.005166291250489988
67,15,0.005135722845923158
21,15,0.005869172110116566
134,15,0.005302551064111668
145,30,0.005263819952323619
98,30,0.005118515135826743
159,30,0.005236327608083168
198,30,0.005337272403723505
174,30,0.005312462295450601
60,30,0.005506094643290896
192,30,0.005254056932915102
89,30,0.005304142426710071
197,30,0.005321313823134522
68,30,0.005296772722796108
152,30,0.005252251414300522
33,30,0.005462534986425172
61,30,0.0055798169070734975
44,30,0.005407068263680392
128,30,0.005323314836488236
23,30,0.005542340983134451
157,30,0.005295657210550922
42,30,0.005380643162553243
85,30,0.005349238580704417
190,30,0.005187339204071262
65,30,0.005322368908323492
55,30,0.005445449984692951
56,30,0.0053773041828339245
103,30,0.005321084195757125
51,30,0.005593831858669139
160,30,0.0052511112616640526
151,30,0.005221732060950913
34,30,0.00563078061495278
147,30,0.005280342409599945
2,30,0.008300195312499998
154,30,0.0052959217571668035
114,30,0.0053305726825131515
97,30,0.005356000419884718
111,30,0.005265464879255945
99,30,0.00530058987915792
113,30,0.005297941462192644
16,30,0.005098734957227918
36,30,0.0052576850895878855
27,30,0.005433310546054842
102,30,0.005258980289609085
136,30,0.005190169290086568
104,30,0.005291555675192914
127,30,0.005422050578724275
187,30,0.005289755935920304
92,30,0.005342276970094542
100,30,0.005473008061128383
164,30,0.005249516314333224
52,30,0.005406192740435016
66,30,0.005246824636172928
46,30,0.005525923935881348
153,30,0.005238992019678404
72,30,0.005389966765318406
137,30,0.005217245520427999
48,30,0.005512642308192875
40,30,0.005512898886994356
39,30,0.0054418212595508915
43,30,0.005240503020306583
29,30,0.005353618948486424
120,30,0.00522931575861123
116,30,0.005296397332082275
177,30,0.005269257875251307
6,30,0.0059013331597222215
117,30,0.00511534092283316
123,30,0.005314941356392123
195,30,0.005313890048320733
106,30,0.005321944724377371
165,30,0.005297613159829509
176,30,0.005312192304289023
141,30,0.005337838385183725
115,30,0.005410518950412136
87,30,0.005192867949987201
194,30,0.005229792830065804
67,30,0.005425667978576104
21,30,0.0057077045369897965
134,30,0.005252197032959037
145,22,0.005361850915900114
98,22,0.005296143793233269
159,22,0.005388411883977739
198,22,0.005287398899767362
174,22,0.005317619865166698
60,22,0.005227604107711654
192,22,0.005399720304669575
89,22,0.005438506380813458
197,22,0.005331773027721337
68,22,0.005290732816292802
152,22,0.005111250731638722
33,22,0.005234094400741917
61,22,0.005319408480109917
44,22,0.005371432200617008
128,22,0.005366437070034901
23,22,0.005572787358940709
157,22,0.005369743409524438
42,22,0.005279568578764616
85,22,0.005306572666344798
190,22,0.005228042517508758
65,22,0.00514114915245901
55,22,0.005150537729062829
56,22,0.00516619438182611
103,22,0.005264828245705891
51,22,0.005399913773093413
160,22,0.005318050654803433
151,22,0.005190583400553746
34,22,0.005479370927054855
147,22,0.005266820625312074
2,22,0.0086902369140625
154,22,0.005248601992573664
114,22,0.0053256535827334184
97,22,0.0054293717800864855
111,22,0.005435358788998586
99,22,0.005366591412264631
113,22,0.00523135640199434
16,22,0.005716260653451954
