n_estimators,max_depth,mse
1,1,0.00675240659961183
2,1,0.006751438079864509
3,1,0.006730284275658369
4,1,0.006699456120232509
5,1,0.006698597796898129
6,1,0.0067150455456859715
7,1,0.006707847655493352
8,1,0.006693393403316966
9,1,0.006700195033906756
10,1,0.006686894397702983
11,1,0.006694249355549872
12,1,0.0066949047990108815
13,1,0.006696652571145233
14,1,0.006698194767364982
15,1,0.006700463289128616
16,1,0.0067043301600785785
17,1,0.006699721213183666
18,1,0.006695382328356115
19,1,0.006693046460163933
20,1,0.006688351868875705
21,1,0.006678072340793488
22,1,0.006671523287028516
23,1,0.00666734339226076
24,1,0.00667374325278364
25,1,0.006672954335666112
26,1,0.006672099339480625
27,1,0.006669289423703399
28,1,0.006667607824604192
29,1,0.006670907741431242
30,1,0.006672101643423215
31,1,0.006672933150629906
32,1,0.006671507575439004
33,1,0.006673654667787962
34,1,0.006672260538851382
35,1,0.006669030326205448
36,1,0.0066747540927745985
37,1,0.006674339702944373
38,1,0.0066760730456274665
39,1,0.006673192520474855
40,1,0.006671692441304733
41,1,0.006670856639737779
42,1,0.0066727436043663765
43,1,0.006673383864626459
44,1,0.0066715578254430115
45,1,0.006671362110586933
46,1,0.00667077853918587
47,1,0.006670021248674954
48,1,0.006667215471420529
49,1,0.006668684529581472
50,1,0.006668712302909498
51,1,0.006669273797189198
52,1,0.0066690653210212895
53,1,0.006671521224541172
54,1,0.006672934311384189
55,1,0.006673964808457232
56,1,0.006672132939119163
57,1,0.0066710341340037145
58,1,0.0066735656656828485
59,1,0.006673542138052357
60,1,0.0066735455844525865
61,1,0.006674550657799686
62,1,0.00667612299787379
63,1,0.006676465850691501
64,1,0.006676199926987448
65,1,0.006673455196912222
66,1,0.006671058242813421
67,1,0.006671843999970306
68,1,0.006671653385952573
69,1,0.006670529628979863
70,1,0.006672225941485144
71,1,0.006664791156271973
72,1,0.006665778155050201
73,1,0.006665086443439536
74,1,0.006664594630233794
75,1,0.0066657342184281735
76,1,0.006665978561370798
77,1,0.006665139793100031
78,1,0.006665041024363693
79,1,0.00666595389444849
80,1,0.006666467395782844
81,1,0.006667017127032186
82,1,0.006668336762622231
83,1,0.006669692845404492
84,1,0.006668130348977852
85,1,0.006669410268493286
86,1,0.0066698298871168986
87,1,0.00666941125766862
88,1,0.006670458204851473
89,1,0.006668949036671293
90,1,0.006667389879114483
91,1,0.006664942311791755
92,1,0.0066613347183150555
93,1,0.006660465143114478
94,1,0.006661341237340769
95,1,0.006661544716724486
96,1,0.006662114496894492
